response_id,comment_text,age,profession,time_period,crowding_level,waiting_time_min,sentiment_label,primary_category
1,"I expected a rough commute, but it was actually manageable.",52,Teacher,Evening Peak,Severe,6,Positive,Comfort
2,Accessibility er dike khub kom attention ache. Peak hour e nama-utha duitae kosto.,44,Job Seeker,Morning Peak,Low,35,Negative,Accessibility
3,Getting on the bus was difficult because it barely stopped near the designated stop.,55,Factory Worker,Morning Peak,Moderate,51,Negative,Accessibility
4,The fare felt fair enough for the distance I traveled.,21,Shopkeeper,Morning Peak,Severe,11,Positive,Cost
5,A calm and respectful attitude from the staff made the ride easier.,58,Freelancer,Evening Peak,High,5,Positive,Staff Behavior
6,A little politeness would make a big difference for regular commuters.,54,Shopkeeper,Morning Peak,Moderate,31,Negative,Staff Behavior
7,"The ride felt somewhat crowded, but I did not face any major safety issue.",19,Office Employee,Morning Peak,Severe,13,Neutral,Safety
8,The seat condition was poor and there was no real comfort during the trip.,36,Job Seeker,Morning Peak,High,41,Negative,Comfort
9,The bus was so full that I had to stand bent near the gate for almost the whole trip.,53,Job Seeker,Morning Peak,High,50,Negative,Crowding
10,The seat condition was poor and there was no real comfort during the trip.,49,Small Business,Morning Peak,Severe,50,Negative,Comfort
11,"It was not cheap, but not unreasonable either.",35,Healthcare Worker,Evening Peak,Severe,12,Neutral,Cost
12,"Compared with other days, today the cost felt reasonable.",58,Shopkeeper,Morning Peak,High,6,Positive,Cost
13,The helper was rude when passengers asked whether the bus would stop at the next point.,29,Office Employee,Evening Peak,High,59,Negative,Staff Behavior
14,"Comfort was average to no major issue, no special improvement.",40,Factory Worker,Evening Peak,Severe,14,Neutral,Comfort
15,The bus was so packed that I kept worrying about my phone and wallet the whole trip.,35,Student,Evening Peak,Moderate,52,Negative,Safety
16,The seat condition was poor and there was no real comfort during the trip.,38,Office Employee,Morning Peak,Moderate,34,Negative,Comfort
17,"Compared with other days, today the cost felt reasonable.",38,Banker,Evening Peak,Severe,9,Positive,Cost
18,"The ride was tiring, but about what I normally expect from a local bus.",55,Small Business,Morning Peak,High,8,Neutral,Comfort
19,Getting on the bus was difficult because it barely stopped near the designated stop.,47,Factory Worker,Morning Peak,Moderate,34,Negative,Accessibility
20,Staff behavior was okay overall.,24,Shopkeeper,Morning Peak,High,19,Neutral,Staff Behavior
21,Clear route and stop information would save passengers a lot of confusion.,55,Driver,Morning Peak,Moderate,31,Negative,Information
22,"Same problem again to long wait, slow movement, and too many unnecessary stops. Morning peak in Dhaka feels impossible sometimes.",37,Student,Morning Peak,High,19,Negative,Delay
23,"Bus e kono clear information chilo na, especially notun passenger der jonno eta problem.",29,Freelancer,Evening Peak,High,31,Negative,Information
24,"The stop area was busy, though still usable.",33,Student,Morning Peak,Severe,8,Neutral,Accessibility
25,"The ride was tiring, but about what I normally expect from a local bus.",57,Office Employee,Evening Peak,Moderate,17,Neutral,Comfort
26,I had to ask three people before confirming whether this bus was going my way.,57,Banker,Morning Peak,Moderate,61,Negative,Information
27,"The ride was jerky, noisy, and uncomfortable, especially while standing.",19,Office Employee,Morning Peak,Severe,27,Negative,Comfort
28,"I expected a rough commute, but it was actually manageable.",33,Freelancer,Morning Peak,Severe,8,Positive,Comfort
29,"For daily commuting, the cleanliness is really below standard. The floor was messy and the windows looked untouched.",33,Small Business,Evening Peak,Severe,40,Negative,Cleanliness
30,Getting on the bus was difficult because it barely stopped near the designated stop.,31,Shopkeeper,Evening Peak,High,35,Negative,Accessibility
